,,last update:2021-02-08,,,,,,
,,,,,,,,
FAIRification process,Tool,Description,Website,License,ResourceType,Type,Source,Confidence
ontology annotation,Aber-OWL,"Type any term or phrase to search the AberOWL ontology repository for a class with label (try pancreas), class description containing searched phrase or part of it (try sugar binding GO), using class OBO ID (try PATO:0001234), for ontologies by acronym (try ECO) or by phrase part of ontology description (try integrated upper ontology,infectious disease, or pathology), or perform a Description Logic query (try 'part of' some 'apoptotic process' ):",http://aber-owl.net/#/,,,,,
ontology annotation,Alation,,https://www.alation.com/,,,,,
ontology annotation,Biobert,"This repository provides the code for fine-tuning BioBERT, a biomedical language representation model designed for biomedical text mining tasks such as biomedical named entity recognition, relation extraction, question answering, etc. Please refer to our paper BioBERT: a pre-trained biomedical language representation model for biomedical text mining for more details. This project is done by DMIS-Lab.
",https://github.com/dmis-lab/biobert,,,,,
ontology annotation,Cantree API,,,,,,,
ontology annotation,Collibra,,https://www.collibra.com/,,,,,
ontology annotation,eNanoMapper Slimmer,"Slimmer is a slim tool to slim ontologies as part of ontology integration. It allows users to provide configuration files that specify which parts of an ontology should be kept and/or removed, allowing to just select parts of the ontology you like. Rewiring the ontology is part of the features, allowing you to define new super terms.",https://github.com/enanomapper/slimmer,,,,,
ontology annotation,GeneTegra,"INFOTECH Soft is dedicated to the development of state of the art software solutions for the healthcare and life science industries. Our objective is to create software solutions that enable medical and research professionals to effectively diagnose and treat patient ailments.

We specialize in the application of Semantic Web technologies to biomedical and clinical research. Coupled with a solid understanding of new and evolving technologies in network computing, high speed integrated services networks, and distributed systems architectures, our goal is to meet the information technology solutions needs of our customers.",http://www.genetegra.com/,,,,,
ontology annotation,MarkLogic,,https://developer.marklogic.com/concept/ontology-driven-entity-extraction/,,,,,
ontology annotation,NCBO Bioportal,"The goal of the National Center for Biomedical Ontology is to support biomedical researchers in their knowledge-intensive work, by providing online tools and a Web portal enabling them to access, review, and integrate disparate ontological resources in all aspects of biomedical investigation and clinical practice. A major focus of our work involves the use of biomedical ontologies to aid in the management and analysis of data derived from complex experiments.
",https://bioportal.bioontology.org/,,,,,
ontology annotation,NCBO bioportal Annotator,"The range of publicly available biomedical data is enormous and continues to rapidly expand. This expansion means that researchers now face a hurdle to extracting the data they need from the large numbers of data that are available. Biomedical researchers have turned to ontologies and terminologies to structure and annotate their data with ontology concepts for better search and retrieval. However, this annotation process cannot be easily automated and often requires expert curators. Plus, there is a lack of easy-to-use systems that facilitate the use of ontologies for annotation. The NCBO Annotator (formerly referred to as the Open Biomedical Annotator (OBA)) is an ontology-based Web service that annotates public datasets with biomedical ontology concepts based on their textual metadata. The biomedical community can use the annotator service to tag their data automatically with ontology concepts. These concepts come from the Unified Medical Language System (UMLS) Metathesaurus and the National Center for Biomedical Ontology (NCBO) BioPortal ontologies. Such annotations facilitate translational discoveries by integrating annotated data.",https://bioportal.bioontology.org/annotator,,,,,
ontology annotation,NeuralCR,"NCR is a concept recognizer for annotating unstructured text with concepts from an ontology. In its core, NCR uses a deep neural network trained to classify input phrases with concepts in a given ontology, and is capable of generalizing to synonyms not explicitly available.",https://github.com/ccmbioinfo/NeuralCR,,,,,
ontology annotation,OBO foundry,"The mission of the OBO Foundry is to develop a family of interoperable ontologies that are both logically well-formed and scientifically accurate. To achieve this, OBO Foundry participants follow and contribute to the development of an evolving set of principles including open use, collaborative development, non-overlapping and strictly-scoped content, and common syntax and relations, based on ontology models that work well, such as the Operations Committee with Editorial, Technical and Outreach working groups.",http://www.obofoundry.org/,,,,,
ontology annotation,OLS,"The Ontology for Biomedical Investigations (OBI) is build in a collaborative, international effort and will serve as a resource for annotating biomedical investigations, including the study design, protocols and instrumentation used, the data generated and the types of analysis performed on the data. This ontology arose from the Functional Genomics Investigation Ontology (FuGO) and will contain both terms that are common to all biomedical investigations, including functional genomics investigations and those that are more domain specific.",https://www.ebi.ac.uk/ols/ontologies/obi,,,,,
ontology annotation,Ontobee,"Ontobee: A linked data server designed for ontologies. Ontobee is aimed to facilitate ontology data sharing, visualization, query, integration, and analysis. Ontobee dynamically dereferences and presents individual ontology term URIs to (i) HTML web pages for user-friendly web browsing and navigation, and to (ii) RDF source code for Semantic Web applications. Ontobee is the default linked data server for most OBO Foundry library ontologies. Ontobee has also been used for many non",http://www.ontobee.org/,,,,,
ontology annotation,OntoMaton,"OntoMaton facilitates ontology search and tagging functionalities within Google Spreadsheets. It has been developed by the ISA Team at the University of Oxford's e-Research Centre.
",https://github.com/ISA-tools/OntoMaton,,,,,
ontology annotation,OntoText,"Organize your information and documents into enterprise knowledge graphs
We make data management and analytics work in synergy:

Connect and publish complex enterprise knowledge with standard-compliant semantic graph database;
Customize and apply analytics to link documents to graphs, extract new facts, classify and recommend content;
Access data via GraphQL to ease application development.",https://www.ontotext.com/products/ontotext-platform/,,,,,
ontology annotation,OWLAPI,"The OWL API is a Java API for creating, manipulating and serialising OWL Ontologies.",https://github.com/owlcs/owlapi,,,,,
ontology annotation,OXO,"OxO is a service for finding mappings (or cross-references) between terms from ontologies, vocabularies and coding standards. OxO imports mappings from a variety of sources including the Ontology Lookup Service and a subset of mappings provided by the UMLS. We're still developing the service so please get in touch if you have any feedback.",https://www.ebi.ac.uk/spot/oxo/,,,,,
ontology annotation,"Protege
",,,,,,,
ontology annotation,PoolParty,https://help.poolparty.biz/pp7/user-guide-for-knowledge-engineers/advanced-features/ontology-management-overview,https://www.poolparty.biz/natural-language-processing/,,,,,
ontology annotation,rdflibs,"RDFLib is a pure Python package for working with RDF. RDFLib contains useful APIs for working with RDF, including:",https://rdflib.readthedocs.io/en/stable/,,,,,
